date;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_filtration_5 Marche hivernage;CE_hivernage_0 Arret;CE_hivernage_2 Actif activé;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_volet_0 Position ouvert;CE_volet_1 position fermé;airTemp;waterTemp
2022-06-02 11:44:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:46:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:48:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:50:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:52:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:54:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:56:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 11:58:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;31.107105;24.1
2022-06-02 12:00:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:02:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:04:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:06:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:08:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:10:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:12:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.620174;24.168989
2022-06-02 12:14:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:16:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:18:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:20:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:22:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:24:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:26:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:28:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.615505;24.402294
2022-06-02 12:30:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:32:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:34:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:36:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:38:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:40:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:42:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.54891;24.517687
2022-06-02 12:44:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:46:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:48:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:50:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:52:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:54:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:56:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 12:58:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.43133;24.617661
2022-06-02 13:00:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:02:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:04:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:06:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:08:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:10:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:12:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.266659;24.71764
2022-06-02 13:14:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:16:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:18:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:20:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:22:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:24:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:26:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:28:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.182348;24.799999
2022-06-02 13:30:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
2022-06-02 13:32:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
2022-06-02 13:34:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
2022-06-02 13:36:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
2022-06-02 13:38:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
2022-06-02 13:40:00;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;31.233402;24.850883
