date;Evènement;Etat
2021-12-21 00:38:00;Changement état de hivernage;3 inconnu
2021-12-21 00:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 01:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 01:23:00;Changement état de hivernage;4 inconnu
2021-12-21 01:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 01:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-21 01:38:00;Changement état de hivernage;3 inconnu
2021-12-21 01:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 02:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 02:23:00;Changement état de hivernage;4 inconnu
2021-12-21 02:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 02:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-21 02:38:00;Changement état de hivernage;3 inconnu
2021-12-21 02:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 03:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 03:23:00;Changement état de hivernage;4 inconnu
2021-12-21 03:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 03:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-21 03:38:00;Changement état de hivernage;3 inconnu
2021-12-21 03:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 04:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 04:23:00;Changement état de hivernage;4 inconnu
2021-12-21 04:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 04:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-21 04:38:00;Changement état de hivernage;3 inconnu
2021-12-21 04:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 05:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 05:23:00;Changement état de hivernage;4 inconnu
2021-12-21 05:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 05:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-21 05:38:00;Changement état de hivernage;3 inconnu
