date;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;waterTemp;airTemp
2022-07-06 23:18:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:20:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:22:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:24:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:26:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:28:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:30:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:32:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:34:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:36:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:38:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:40:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:42:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.521433;20.932106
2022-07-06 23:44:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:46:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:48:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:50:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-06 23:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.321669;20.721657
2022-07-07 00:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.144222;20.544214
2022-07-07 00:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:18:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:20:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:22:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:24:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:26:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:28:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.01096;20.38862
2022-07-07 00:30:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:32:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:34:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:36:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:38:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:40:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:42:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.944412;20.188814
2022-07-07 00:44:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:46:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:48:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:50:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 00:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.788975;20.011126
2022-07-07 01:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.644571;19.889141
2022-07-07 01:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.511303;19.711298
2022-07-07 01:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;19.511303;19.711298
